latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-74.04254,32.0,-14400,America/New_York,GMT-4

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),rain (mm),snowfall (cm),weather_code (wmo code),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),surface_pressure (hPa)
2023-01-01T00:00,10.9,99,1.00,1.00,0.00,55,100,11.3,239,17.3,1004.3
2023-01-01T01:00,10.6,99,1.00,1.00,0.00,55,100,7.4,256,19.8,1003.2
2023-01-01T02:00,10.6,98,0.10,0.10,0.00,51,76,13.1,249,19.1,1003.2
2023-01-01T03:00,10.4,96,0.00,0.00,0.00,0,3,16.0,262,24.5,1003.6
2023-01-01T04:00,9.8,95,0.00,0.00,0.00,0,0,16.0,279,25.2,1004.4
2023-01-01T05:00,9.1,95,0.00,0.00,0.00,2,61,15.8,297,25.2,1004.9
2023-01-01T06:00,8.6,94,0.00,0.00,0.00,2,71,15.9,308,26.3,1005.6
2023-01-01T07:00,7.9,94,0.00,0.00,0.00,2,58,13.2,287,25.2,1006.7
2023-01-01T08:00,6.8,97,0.00,0.00,0.00,2,76,10.5,266,20.9,1006.9
2023-01-01T09:00,8.0,94,0.00,0.00,0.00,2,67,11.9,267,19.1,1007.5
2023-01-01T10:00,9.6,90,0.00,0.00,0.00,1,43,15.9,267,24.8,1008.8
2023-01-01T11:00,10.6,84,0.00,0.00,0.00,3,85,16.1,290,27.0,1010.0
2023-01-01T12:00,10.9,74,0.00,0.00,0.00,1,46,17.3,293,30.2,1010.2
2023-01-01T13:00,11.5,68,0.00,0.00,0.00,1,44,16.6,300,30.2,1009.8
2023-01-01T14:00,11.9,61,0.00,0.00,0.00,0,4,17.4,294,30.6,1010.0
2023-01-01T15:00,11.9,57,0.00,0.00,0.00,0,1,15.9,295,30.6,1009.9
2023-01-01T16:00,11.8,56,0.00,0.00,0.00,0,7,12.6,294,27.7,1009.8
2023-01-01T17:00,10.2,65,0.00,0.00,0.00,0,2,6.1,298,20.5,1010.3
2023-01-01T18:00,7.0,76,0.00,0.00,0.00,0,16,9.5,299,12.2,1010.8
2023-01-01T19:00,5.4,83,0.00,0.00,0.00,0,0,9.4,252,10.8,1011.3
2023-01-01T20:00,4.9,82,0.00,0.00,0.00,0,1,9.5,261,17.6,1012.1
2023-01-01T21:00,6.2,83,0.00,0.00,0.00,0,5,11.9,267,18.0,1012.7
2023-01-01T22:00,5.1,86,0.00,0.00,0.00,2,55,7.2,276,18.4,1013.0
2023-01-01T23:00,5.8,83,0.00,0.00,0.00,3,100,7.0,258,13.0,1013.0
2023-01-02T00:00,6.2,82,0.00,0.00,0.00,3,100,7.9,321,11.5,1013.4
2023-01-02T01:00,6.5,83,0.00,0.00,0.00,2,69,5.4,266,12.6,1013.2
2023-01-02T02:00,5.6,86,0.00,0.00,0.00,2,77,8.0,234,11.5,1013.1
2023-01-02T03:00,4.6,90,0.00,0.00,0.00,3,98,7.7,259,11.9,1013.6
2023-01-02T04:00,5.1,91,0.00,0.00,0.00,1,27,7.9,286,11.9,1014.4
2023-01-02T05:00,4.7,91,0.00,0.00,0.00,0,19,8.7,300,12.2,1014.5
2023-01-02T06:00,4.6,90,0.00,0.00,0.00,3,100,8.7,294,12.6,1015.1
2023-01-02T07:00,4.6,90,0.00,0.00,0.00,3,99,7.7,298,13.0,1015.5
2023-01-02T08:00,5.1,90,0.00,0.00,0.00,3,99,7.7,281,13.0,1015.8
2023-01-02T09:00,5.8,89,0.00,0.00,0.00,3,100,6.3,301,11.9,1016.3
2023-01-02T10:00,6.9,85,0.00,0.00,0.00,3,100,7.3,303,10.8,1016.8
2023-01-02T11:00,8.4,83,0.00,0.00,0.00,3,100,5.8,266,13.7,1017.2
2023-01-02T12:00,10.0,76,0.00,0.00,0.00,3,100,3.9,236,12.2,1016.8
2023-01-02T13:00,11.1,71,0.00,0.00,0.00,3,95,2.9,240,11.5,1015.8
2023-01-02T14:00,12.1,67,0.00,0.00,0.00,3,94,3.4,238,11.9,1015.6
2023-01-02T15:00,12.6,66,0.00,0.00,0.00,2,50,6.0,205,13.7,1015.4
2023-01-02T16:00,12.9,67,0.00,0.00,0.00,3,89,9.0,196,16.2,1015.5
2023-01-02T17:00,11.2,76,0.00,0.00,0.00,3,100,6.5,177,15.8,1015.8
2023-01-02T18:00,9.4,82,0.20,0.20,0.00,51,100,6.3,167,11.2,1015.9
2023-01-02T19:00,8.5,86,0.00,0.00,0.00,3,100,6.0,163,9.7,1016.1
2023-01-02T20:00,7.7,91,0.00,0.00,0.00,1,49,8.0,188,11.9,1016.6
2023-01-02T21:00,8.9,87,0.00,0.00,0.00,3,100,6.8,212,10.8,1017.0
2023-01-02T22:00,8.4,92,0.00,0.00,0.00,3,100,6.3,211,9.7,1017.1
2023-01-02T23:00,8.6,92,0.30,0.30,0.00,51,100,4.5,194,9.4,1017.1
2023-01-03T00:00,8.2,95,0.10,0.10,0.00,51,100,4.3,180,5.8,1016.9
2023-01-03T01:00,8.4,96,0.00,0.00,0.00,3,100,5.5,157,7.2,1016.3
2023-01-03T02:00,8.1,98,0.00,0.00,0.00,3,100,5.6,153,7.6,1016.5
2023-01-03T03:00,8.1,97,0.00,0.00,0.00,3,100,7.4,141,10.4,1016.2
2023-01-03T04:00,8.1,94,0.00,0.00,0.00,3,100,8.2,157,12.2,1016.3
2023-01-03T05:00,8.0,93,0.00,0.00,0.00,3,100,5.6,135,11.9,1016.0
2023-01-03T06:00,8.1,94,0.00,0.00,0.00,3,100,9.4,140,14.0,1015.4
2023-01-03T07:00,7.6,97,0.00,0.00,0.00,3,100,5.4,160,13.7,1015.5
2023-01-03T08:00,6.3,99,0.00,0.00,0.00,3,100,7.5,73,10.8,1014.1
2023-01-03T09:00,7.9,98,0.00,0.00,0.00,3,100,6.9,96,10.4,1013.3
2023-01-03T10:00,8.5,96,1.00,1.00,0.00,55,100,8.3,124,11.5,1012.6
2023-01-03T11:00,9.3,97,0.20,0.20,0.00,51,100,5.5,169,15.1,1012.2
2023-01-03T12:00,8.9,97,3.10,3.10,0.00,63,100,2.9,210,21.6,1012.1
2023-01-03T13:00,8.9,98,2.60,2.60,0.00,63,100,7.1,135,21.2,1009.5
2023-01-03T14:00,9.4,97,1.00,1.00,0.00,55,100,12.5,198,18.7,1009.0
2023-01-03T15:00,10.2,97,1.10,1.10,0.00,55,100,14.1,218,21.6,1008.3
2023-01-03T16:00,11.9,97,0.20,0.20,0.00,51,100,19.2,214,30.2,1006.9
2023-01-03T17:00,12.6,97,0.00,0.00,0.00,3,100,19.4,222,32.4,1006.6
2023-01-03T18:00,12.9,97,0.00,0.00,0.00,3,100,16.1,220,30.6,1006.1
2023-01-03T19:00,12.8,97,0.00,0.00,0.00,3,100,14.5,222,24.8,1006.2
