date_hour,PULocationID,PU_Zone,predicted_demand,predicted_revenue
2025-01-01,132,JFK Airport,13.801699501015914,922.4755503273961
2025-01-01,138,LaGuardia Airport,9.444906444840312,514.014838085274
2025-01-01,249,West Village,12.466966955284672,290.52766577469566
2025-01-01,79,East Village,11.294300292192805,232.35795219098708
2025-01-01,48,Clinton East,10.582928248961565,227.58810888407413
2025-01-01,239,Upper West Side South,9.91875540411983,212.48471100799142
2025-01-01,142,Lincoln Square East,10.304107678694258,199.2589626810531
2025-01-01,164,Midtown South,8.302108559085362,190.9137393089371
2025-01-01,161,Midtown Center,6.46745403857469,162.80839740405332
2025-01-01,68,East Chelsea,7.350937936994036,158.74542742192227
2025-01-01,186,Penn Station/Madison Sq West,7.372384809642844,143.5571635694475
2025-01-01,107,Gramercy,7.039118147999686,135.44907973256852
2025-01-01,263,Yorkville West,7.837647172100141,127.86451245447554
2025-01-01,170,Murray Hill,6.74925518841249,123.57132788383231
2025-01-01,234,Union Sq,6.2263099610231265,120.21134444129139
2025-01-01,236,Upper East Side North,6.553550807631423,119.5255525624141
2025-01-01,231,TriBeCa/Civic Center,5.232734682217108,118.65537875928274
2025-01-01,233,UN/Turtle Bay South,3.274388500212414,111.22405703016898
2025-01-01,237,Upper East Side South,5.9531271053360575,110.00925475448057
2025-01-01,163,Midtown North,4.881869114368108,109.44704904477719
