date_hour,PULocationID,predicted_demand,predicted_revenue
2025-01-01,132,23.174774226232262,1649.11780304804
2025-01-01,48,12.616018787621462,341.0019355958389
2025-01-01,79,9.932583663052782,251.12959741858646
2025-01-01,142,9.467932021730912,261.45082384568144
2025-01-01,138,9.128670786535757,581.1881144933558
2025-01-01,68,8.661626641570892,247.97362093223438
2025-01-01,234,8.58255093759799,279.117746183208
2025-01-01,239,7.886446089550674,235.86049278464537
2025-01-01,249,7.6639510313916865,233.88722445026536
2025-01-01,161,7.563899955229886,271.9751950062386
2025-01-01,107,7.511286075045051,213.58196401070822
2025-01-01,229,7.436161202723618,233.7869382726441
2025-01-01,140,7.407690058237155,234.42035531946243
2025-01-01,164,7.403591110678604,238.4917180352433
2025-01-01,237,7.339235953231374,227.22689304967108
2025-01-01,170,7.244478286717819,210.41829659887262
2025-01-01,163,7.192730564423433,227.79198279327267
2025-01-01,231,6.900205067906967,233.63287784506574
2025-01-01,162,6.8842844509823236,208.31027275479033
2025-01-01,186,6.85346465021657,247.8237322493853
